Date,Price,Open,High,Low,Vol.,Change %
12/11/2025,"4,230","4,350","4,390","4,190",43.39M,-1.86%
12/10/2025,"4,310","4,350","4,350","4,270",19.91M,-0.23%
12/09/2025,"4,320","4,310","4,330","4,260",34.46M,0.23%
12/08/2025,"4,310","4,360","4,360","4,290",28.22M,0.47%
12/05/2025,"4,290","4,330","4,360","4,290",28.88M,-0.46%
12/04/2025,"4,310","4,260","4,320","4,240",23.54M,1.17%
12/03/2025,"4,260","4,270","4,290","4,240",28.26M,-0.23%
12/02/2025,"4,270","4,340","4,360","4,250",39.09M,-0.93%
12/01/2025,"4,310","4,240","4,350","4,240",19.34M,1.17%
11/28/2025,"4,260","4,330","4,350","4,260",40.76M,-2.07%
11/27/2025,"4,350","4,420","4,420","4,300",33.62M,-1.36%
11/26/2025,"4,410","4,420","4,420","4,370",31.69M,-0.23%
11/25/2025,"4,420","4,420","4,450","4,370",36.14M,0.68%
11/24/2025,"4,390","4,400","4,440","4,350",76.65M,0.00%
11/21/2025,"4,390","4,450","4,450","4,370",45.57M,-1.57%
11/20/2025,"4,460","4,470","4,560","4,450",54.71M,0.00%
11/19/2025,"4,460","4,470","4,470","4,410",34.30M,0.00%
11/18/2025,"4,460","4,400","4,470","4,400",36.96M,1.59%
11/17/2025,"4,390","4,390","4,440","4,380",28.45M,0.00%
11/14/2025,"4,390","4,410","4,450","4,370",34.60M,-0.68%
11/13/2025,"4,420","4,470","4,480","4,420",20.21M,-0.90%
11/12/2025,"4,460","4,410","4,480","4,400",35.39M,0.90%
11/11/2025,"4,420","4,450","4,450","4,370",48.79M,0.00%
11/10/2025,"4,420","4,520","4,520","4,410",45.52M,-1.78%
11/07/2025,"4,500","4,440","4,500","4,440",36.15M,1.35%
11/06/2025,"4,440","4,450","4,480","4,430",31.81M,-0.45%
11/05/2025,"4,460","4,400","4,480","4,380",43.45M,0.22%
11/04/2025,"4,450","4,430","4,510","4,430",73.34M,0.45%
11/03/2025,"4,430","4,390","4,460","4,380",40.46M,1.14%
10/31/2025,"4,380","4,400","4,450","4,350",69.14M,-0.68%
10/30/2025,"4,410","4,420","4,530","4,370",91.04M,-0.68%
10/29/2025,"4,440","4,380","4,440","4,320",71.74M,1.60%
10/28/2025,"4,370","4,390","4,440","4,340",58.46M,0.00%
10/27/2025,"4,370","4,440","4,450","4,270",102.36M,0.00%
10/24/2025,"4,370","4,220","4,440","4,210",177.60M,3.07%
10/23/2025,"4,240","4,030","4,250","4,020",130.64M,5.21%
10/22/2025,"4,030","4,070","4,150","4,000",81.23M,-0.49%
10/21/2025,"4,050","4,110","4,130","4,030",88.06M,0.25%
10/20/2025,"4,040","3,870","4,110","3,860",146.20M,6.32%
10/17/2025,"3,800","3,870","3,900","3,800",60.73M,-1.30%
10/16/2025,"3,850","3,790","3,890","3,760",55.98M,2.12%
10/15/2025,"3,770","3,810","3,840","3,720",84.58M,-0.79%
10/14/2025,"3,800","3,910","3,940","3,800",69.45M,-2.56%
10/13/2025,"3,900","3,920","3,940","3,870",38.35M,-1.76%
10/10/2025,"3,970","4,090","4,090","3,950",48.78M,-3.17%
10/09/2025,"4,100","3,910","4,150","3,860",106.11M,4.06%
10/08/2025,"3,940","4,000","4,010","3,930",28.81M,-1.25%
10/07/2025,"3,990","4,030","4,040","3,970",41.25M,-0.25%
10/06/2025,"4,000","4,040","4,090","4,000",35.06M,-0.99%
10/03/2025,"4,040","4,060","4,080","4,010",26.76M,0.00%
10/02/2025,"4,040","4,050","4,100","4,040",34.73M,-0.25%
10/01/2025,"4,050","4,050","4,120","4,050",37.81M,-1.22%
09/30/2025,"4,100","4,170","4,170","4,100",60.16M,-1.68%
09/29/2025,"4,170","4,160","4,170","4,110",41.04M,-0.24%
09/26/2025,"4,180","4,150","4,180","4,110",39.38M,-0.24%
09/25/2025,"4,190","4,180","4,190","4,140",35.63M,0.00%
09/24/2025,"4,190","4,220","4,230","4,170",28.65M,-0.24%
09/23/2025,"4,200","4,210","4,240","4,170",39.15M,-0.24%
09/22/2025,"4,210","4,270","4,280","4,170",63.52M,-1.41%
09/19/2025,"4,270","4,250","4,290","4,210",100.58M,-1.61%
09/18/2025,"4,340","4,480","4,490","4,250",90.93M,-2.47%
09/17/2025,"4,450","4,390","4,450","4,330",54.55M,1.83%
09/16/2025,"4,370","4,440","4,450","4,320",52.08M,-0.91%
09/15/2025,"4,410","4,550","4,600","4,410",74.52M,-2.43%
09/12/2025,"4,520","4,430","4,530","4,330",109.80M,2.26%
09/11/2025,"4,420","4,210","4,430","4,210",130.16M,7.80%
09/10/2025,"4,100","4,100","4,140","4,080",64.54M,0.49%
09/09/2025,"4,080","4,160","4,200","4,020",102.88M,-2.39%
09/08/2025,"4,180","4,430","4,440","4,050",55.69M,-4.35%
09/04/2025,"4,370","4,410","4,410","4,340",17.35M,-0.91%
09/03/2025,"4,410","4,320","4,410","4,320",29.75M,2.32%
09/02/2025,"4,310","4,340","4,430","4,290",28.51M,-0.23%
09/01/2025,"4,320","4,170","4,400","4,150",60.51M,-1.37%
08/29/2025,"4,380","4,440","4,460","4,350",60.71M,-1.79%
08/28/2025,"4,460","4,480","4,500","4,450",37.27M,0.22%
08/27/2025,"4,450","4,500","4,500","4,400",45.97M,-1.98%
08/26/2025,"4,540","4,430","4,540","4,370",85.60M,2.02%
08/25/2025,"4,450","4,460","4,520","4,440",53.43M,1.37%
08/22/2025,"4,390","4,500","4,500","4,380",32.63M,-2.23%
08/21/2025,"4,490","4,420","4,490","4,400",60.90M,1.35%
08/20/2025,"4,430","4,290","4,450","4,290",52.90M,2.31%
08/19/2025,"4,330","4,360","4,360","4,280",34.41M,-0.92%
08/15/2025,"4,370","4,370","4,450","4,370",62.30M,-0.46%
08/14/2025,"4,390","4,400","4,400","4,360",43.16M,0.46%
08/13/2025,"4,370","4,390","4,420","4,310",54.04M,0.23%
